n_intervention (int), date (str), description (str), n_registre (int), nom_latin (str), n_puce (int)
505,28/3/2017,platre,10,Panthera leo,27
506,28/3/2017,soins divers,30,Panthera uncia,33
507,28/3/2017,soins divers,1,Bubo scandiacus,35
508,28/3/2017,operation,16,Ursus maritimus,24
509,28/3/2017,mise en quarantaine,27,Haliaeetus leucocephalus,14
510,28/3/2017,mise en quarantaine,25,Aptenodytes forsteri,15
511,28/3/2017,mise en quarantaine,10,Aptenodytes forsteri,40
512,28/3/2017,mise en quarantaine,27,Canis lupus,22
513,1/4/2017,soins divers,16,Cervus canadensis,31
514,1/4/2017,soins divers,30,Urocyon cinereoargenteus,13
515,1/4/2017,platre,19,Elephas maximus,22
516,1/4/2017,vaccin,7,Falco peregrinus,13
517,2/4/2017,platre,2,Ardea cinerea,20
518,2/4/2017,soins divers,28,Felis silvestris,16
519,2/4/2017,operation,12,Canis lupus,19
520,3/4/2017,mise en quarantaine,2,Ailurus fulgens,36
521,3/4/2017,operation,25,Pan troglodytes,9
522,3/4/2017,vaccin,30,Ardea cinerea,40
523,3/4/2017,platre,10,Bubo scandiacus,1
524,3/4/2017,vaccin,12,Cervus canadensis,30
525,3/4/2017,platre,7,Ursus maritimus,15
526,3/4/2017,mise en quarantaine,4,Struthio camelus,33
527,3/4/2017,operation,29,Aptenodytes forsteri,47
528,4/4/2017,operation,2,Prunella modularis,12
529,4/4/2017,mise en quarantaine,26,Eunectes murinus,12
530,4/4/2017,operation,29,Urocyon cinereoargenteus,1
531,4/4/2017,mise en quarantaine,30,Aptenodytes forsteri,6
532,4/4/2017,vaccin,17,Bubo scandiacus,4
533,4/4/2017,mise en quarantaine,3,Falco peregrinus,22
534,4/4/2017,operation,25,Giraffa camelopardalis,29
535,4/4/2017,mise en quarantaine,26,Panthera leo,2
536,4/4/2017,operation,2,Panthera leo,15
537,4/4/2017,mise en quarantaine,29,Hippopotamus amphibius,34
538,4/4/2017,soins divers,2,Panthera pardus,3
539,4/4/2017,operation,1,Aptenodytes forsteri,41
540,4/4/2017,platre,7,Giraffa camelopardalis,18
541,4/4/2017,vaccin,29,Lutra lutra,14
542,5/4/2017,operation,2,Rangifer tarandus,1
543,6/4/2017,mise en quarantaine,30,Pongo pygmaeus,35
544,6/4/2017,vaccin,25,Struthio camelus,8
545,6/4/2017,soins divers,29,Panthera uncia,4
546,6/4/2017,mise en quarantaine,3,Bubo scandiacus,35
547,6/4/2017,soins divers,1,Felis silvestris,16
548,6/4/2017,soins divers,1,Panthera uncia,37
549,7/4/2017,mise en quarantaine,30,Falco peregrinus,20
550,7/4/2017,vaccin,27,Elephas maximus,29
551,7/4/2017,soins divers,27,Equus caballus,26
552,8/4/2017,operation,4,Urocyon cinereoargenteus,11
553,9/4/2017,mise en quarantaine,27,Equus caballus,36
554,9/4/2017,vaccin,27,Prunella modularis,24
555,9/4/2017,vaccin,27,Panthera leo,12
556,9/4/2017,platre,2,Struthio camelus,11
557,9/4/2017,vaccin,19,Lutra lutra,7
558,9/4/2017,platre,27,Rangifer tarandus,4
559,9/4/2017,soins divers,7,Giraffa camelopardalis,5
560,9/4/2017,mise en quarantaine,28,Cervus canadensis,14
561,9/4/2017,mise en quarantaine,30,Pan troglodytes,23
562,9/4/2017,operation,19,Rangifer tarandus,1
563,10/4/2017,operation,1,Felis silvestris,10
564,11/4/2017,vaccin,17,Giraffa camelopardalis,24
565,11/4/2017,mise en quarantaine,16,Pongo pygmaeus,2
566,12/4/2017,soins divers,11,Equus caballus,17
567,12/4/2017,soins divers,29,Elephas maximus,19
568,12/4/2017,mise en quarantaine,25,Giraffa camelopardalis,24
569,12/4/2017,operation,1,Canis lupus,21
570,12/4/2017,platre,19,Aptenodytes forsteri,44
571,12/4/2017,operation,29,Aptenodytes forsteri,27
572,12/4/2017,soins divers,17,Panthera pardus,1
573,12/4/2017,vaccin,7,Aptenodytes forsteri,23
574,13/4/2017,soins divers,1,Eunectes murinus,11
575,13/4/2017,operation,28,Rangifer tarandus,12
576,13/4/2017,mise en quarantaine,10,Canis lupus,11
577,13/4/2017,soins divers,1,Struthio camelus,22
578,14/4/2017,soins divers,3,Panthera uncia,29
579,14/4/2017,operation,1,Lynx rufus,8
580,14/4/2017,soins divers,2,Ailurus fulgens,33
581,14/4/2017,soins divers,4,Panthera leo,16
582,14/4/2017,vaccin,29,Aptenodytes forsteri,25
583,14/4/2017,platre,1,Elephas maximus,12
584,14/4/2017,platre,10,Urocyon cinereoargenteus,11
585,14/4/2017,soins divers,29,Canis lupus,19
586,14/4/2017,platre,7,Falco peregrinus,15
587,14/4/2017,mise en quarantaine,26,Giraffa camelopardalis,6
588,15/4/2017,vaccin,28,Equus caballus,34
589,15/4/2017,soins divers,17,Canis dingo,26
590,15/4/2017,vaccin,28,Ailurus fulgens,18
591,15/4/2017,operation,19,Ardea cinerea,42
592,15/4/2017,mise en quarantaine,16,Ardea cinerea,40
593,15/4/2017,platre,26,Haliaeetus leucocephalus,26
594,15/4/2017,vaccin,28,Pan troglodytes,13
595,15/4/2017,operation,26,Pan troglodytes,8
596,15/4/2017,vaccin,7,Panthera leo,7
597,15/4/2017,operation,1,Struthio camelus,1
598,15/4/2017,vaccin,27,Pongo pygmaeus,11
599,16/4/2017,soins divers,25,Hippopotamus amphibius,16
600,16/4/2017,platre,28,Lutra lutra,12
601,16/4/2017,soins divers,28,Ailurus fulgens,9
602,16/4/2017,platre,30,Ardea cinerea,40
603,16/4/2017,platre,12,Felis silvestris,4
604,16/4/2017,vaccin,17,Elephas maximus,2
605,16/4/2017,soins divers,29,Pan troglodytes,1
606,16/4/2017,vaccin,17,Pan troglodytes,20
607,16/4/2017,platre,12,Urocyon cinereoargenteus,13
608,16/4/2017,mise en quarantaine,2,Ailurus fulgens,36
609,16/4/2017,soins divers,12,Lutra lutra,20
610,16/4/2017,operation,27,Felis silvestris,20
611,16/4/2017,operation,25,Ursus maritimus,32
612,17/4/2017,platre,30,Ursus maritimus,15
613,17/4/2017,mise en quarantaine,7,Haliaeetus leucocephalus,8
614,17/4/2017,vaccin,3,Canis lupus,13
615,17/4/2017,mise en quarantaine,29,Canis lupus,27
616,17/4/2017,soins divers,16,Urocyon cinereoargenteus,21
617,17/4/2017,vaccin,27,Aptenodytes forsteri,15
618,18/4/2017,operation,10,Urocyon cinereoargenteus,31
619,18/4/2017,soins divers,10,Panthera leo,18
620,18/4/2017,vaccin,28,Ailurus fulgens,33
621,18/4/2017,soins divers,1,Ursus maritimus,4
622,18/4/2017,vaccin,29,Struthio camelus,40
623,18/4/2017,platre,7,Equus caballus,27
624,18/4/2017,soins divers,29,Pan troglodytes,38
625,18/4/2017,vaccin,28,Ailurus fulgens,38
626,18/4/2017,platre,11,Eunectes murinus,8
627,18/4/2017,platre,25,Falco peregrinus,23
628,19/4/2017,mise en quarantaine,4,Ailurus fulgens,8
629,19/4/2017,soins divers,27,Aptenodytes forsteri,28
630,19/4/2017,operation,26,Urocyon cinereoargenteus,11
631,19/4/2017,mise en quarantaine,11,Aptenodytes forsteri,36
632,19/4/2017,operation,19,Pan troglodytes,39
633,20/4/2017,platre,25,Lutra lutra,11
634,20/4/2017,soins divers,25,Falco peregrinus,15
635,20/4/2017,soins divers,29,Cervus canadensis,12
636,20/4/2017,vaccin,26,Urocyon cinereoargenteus,24
637,20/4/2017,mise en quarantaine,26,Canis dingo,14
638,20/4/2017,mise en quarantaine,19,Panthera pardus,3
639,20/4/2017,vaccin,7,Bubo scandiacus,14
640,20/4/2017,platre,17,Panthera tigris,15
641,20/4/2017,mise en quarantaine,27,Equus caballus,4
642,20/4/2017,operation,25,Urocyon cinereoargenteus,10
643,21/4/2017,mise en quarantaine,7,Hippopotamus amphibius,21
644,21/4/2017,platre,17,Eunectes murinus,1
645,21/4/2017,vaccin,4,Elephas maximus,19
646,21/4/2017,operation,1,Ardea cinerea,41
647,21/4/2017,platre,10,Ailurus fulgens,33
648,21/4/2017,vaccin,27,Equus caballus,24
649,21/4/2017,vaccin,11,Prunella modularis,14
650,21/4/2017,platre,3,Lutra lutra,24
651,21/4/2017,vaccin,12,Pongo pygmaeus,32
652,21/4/2017,soins divers,30,Ailuropoda melanoleuca,26
653,22/4/2017,operation,3,Elephas maximus,33
654,22/4/2017,operation,16,Hippopotamus amphibius,13
655,22/4/2017,soins divers,27,Rangifer tarandus,28
656,22/4/2017,platre,17,Elephas maximus,16
657,22/4/2017,vaccin,12,Equus caballus,16
658,22/4/2017,soins divers,1,Falco peregrinus,18
659,22/4/2017,vaccin,16,Struthio camelus,19
660,22/4/2017,platre,19,Hippopotamus amphibius,34
661,22/4/2017,operation,4,Lynx rufus,15
662,22/4/2017,soins divers,2,Giraffa camelopardalis,15
663,22/4/2017,operation,2,Urocyon cinereoargenteus,11
664,22/4/2017,operation,10,Rangifer tarandus,28
665,22/4/2017,operation,11,Panthera leo,26
666,22/4/2017,soins divers,1,Aptenodytes forsteri,24
667,22/4/2017,soins divers,2,Ursus maritimus,26
668,22/4/2017,mise en quarantaine,1,Panthera pardus,13
669,22/4/2017,soins divers,12,Ailurus fulgens,26
670,22/4/2017,mise en quarantaine,27,Falco peregrinus,31
671,22/4/2017,mise en quarantaine,2,Equus caballus,14
672,22/4/2017,mise en quarantaine,26,Ardea cinerea,34
673,22/4/2017,vaccin,2,Rangifer tarandus,1
674,22/4/2017,soins divers,30,Equus caballus,31
675,23/4/2017,platre,2,Panthera pardus,17
676,23/4/2017,mise en quarantaine,3,Lutra lutra,1
677,23/4/2017,vaccin,4,Panthera tigris,19
678,23/4/2017,soins divers,29,Ursus maritimus,20
679,24/4/2017,platre,12,Canis lupus,27
680,24/4/2017,vaccin,1,Urocyon cinereoargenteus,13
681,24/4/2017,vaccin,2,Ailurus fulgens,31
682,24/4/2017,vaccin,29,Panthera tigris,21
683,24/4/2017,soins divers,3,Prunella modularis,4
684,24/4/2017,vaccin,17,Ailuropoda melanoleuca,19
685,24/4/2017,vaccin,30,Falco peregrinus,5
686,24/4/2017,vaccin,3,Aptenodytes forsteri,11
687,24/4/2017,operation,10,Elephas maximus,26
688,25/4/2017,soins divers,29,Cervus canadensis,10
689,25/4/2017,mise en quarantaine,26,Ailuropoda melanoleuca,19
690,25/4/2017,operation,3,Struthio camelus,13
691,25/4/2017,vaccin,4,Bubo scandiacus,14
692,25/4/2017,platre,2,Struthio camelus,13
693,25/4/2017,mise en quarantaine,10,Bubo scandiacus,9
694,25/4/2017,operation,16,Ailurus fulgens,14
695,25/4/2017,vaccin,30,Haliaeetus leucocephalus,19
696,25/4/2017,vaccin,19,Hippopotamus amphibius,15
697,25/4/2017,mise en quarantaine,19,Panthera leo,32
698,25/4/2017,mise en quarantaine,3,Pan troglodytes,20
699,26/4/2017,mise en quarantaine,3,Ardea cinerea,35
700,27/4/2017,soins divers,27,Haliaeetus leucocephalus,29
701,27/4/2017,mise en quarantaine,16,Pongo pygmaeus,23
702,27/4/2017,operation,28,Bubo scandiacus,35
703,27/4/2017,operation,16,Panthera tigris,17
704,27/4/2017,soins divers,17,Elephas maximus,20
705,28/4/2017,mise en quarantaine,2,Aptenodytes forsteri,43
706,28/4/2017,operation,25,Pongo pygmaeus,4
707,28/4/2017,platre,26,Urocyon cinereoargenteus,28
708,28/4/2017,platre,17,Struthio camelus,41
709,28/4/2017,mise en quarantaine,12,Canis dingo,26
710,28/4/2017,mise en quarantaine,25,Equus caballus,36
711,28/4/2017,soins divers,30,Aptenodytes forsteri,35
712,1/5/2017,platre,2,Eunectes murinus,5
713,1/5/2017,platre,29,Elephas maximus,37
714,2/5/2017,platre,25,Ailuropoda melanoleuca,21
715,3/5/2017,platre,10,Ailuropoda melanoleuca,11
716,3/5/2017,vaccin,28,Ardea cinerea,11
717,3/5/2017,vaccin,19,Hippopotamus amphibius,21
718,3/5/2017,soins divers,3,Struthio camelus,44
719,3/5/2017,vaccin,25,Prunella modularis,3
720,3/5/2017,soins divers,17,Ardea cinerea,33
721,3/5/2017,soins divers,27,Rangifer tarandus,19
722,4/5/2017,vaccin,1,Urocyon cinereoargenteus,24
723,4/5/2017,vaccin,10,Urocyon cinereoargenteus,29
724,5/5/2017,mise en quarantaine,19,Haliaeetus leucocephalus,3
725,5/5/2017,vaccin,11,Panthera pardus,2
726,6/5/2017,operation,25,Ardea cinerea,30
727,6/5/2017,vaccin,27,Rangifer tarandus,24
728,6/5/2017,soins divers,25,Cervus canadensis,6
729,6/5/2017,mise en quarantaine,3,Falco peregrinus,5
730,7/5/2017,soins divers,7,Ailurus fulgens,24
731,8/5/2017,mise en quarantaine,19,Ailurus fulgens,32
732,8/5/2017,mise en quarantaine,26,Giraffa camelopardalis,21
733,8/5/2017,operation,3,Haliaeetus leucocephalus,11
734,8/5/2017,vaccin,30,Lynx rufus,4
735,8/5/2017,soins divers,26,Cervus canadensis,9
736,8/5/2017,mise en quarantaine,16,Ursus maritimus,9
737,9/5/2017,operation,29,Ardea cinerea,39
738,9/5/2017,platre,27,Ursus maritimus,11
739,9/5/2017,vaccin,3,Equus caballus,24
740,9/5/2017,vaccin,4,Elephas maximus,21
741,9/5/2017,soins divers,4,Urocyon cinereoargenteus,24
742,9/5/2017,vaccin,1,Struthio camelus,38
743,9/5/2017,vaccin,28,Ardea cinerea,11
744,9/5/2017,soins divers,16,Lynx rufus,17
745,9/5/2017,soins divers,11,Ailuropoda melanoleuca,11
746,9/5/2017,platre,16,Lynx rufus,21
747,9/5/2017,platre,26,Panthera tigris,12
748,9/5/2017,vaccin,1,Haliaeetus leucocephalus,21
749,9/5/2017,vaccin,12,Prunella modularis,19
750,10/5/2017,mise en quarantaine,26,Ailurus fulgens,2
751,10/5/2017,mise en quarantaine,1,Haliaeetus leucocephalus,13
752,11/5/2017,operation,30,Struthio camelus,14
753,12/5/2017,vaccin,12,Eunectes murinus,28
754,12/5/2017,vaccin,10,Ailurus fulgens,26
755,12/5/2017,mise en quarantaine,26,Elephas maximus,39
756,12/5/2017,mise en quarantaine,19,Bubo scandiacus,22
757,12/5/2017,operation,19,Bubo scandiacus,19
758,12/5/2017,platre,17,Felis silvestris,31
759,12/5/2017,mise en quarantaine,4,Pongo pygmaeus,11
760,12/5/2017,vaccin,25,Lynx rufus,11
761,12/5/2017,operation,28,Canis lupus,7
762,12/5/2017,mise en quarantaine,27,Pan troglodytes,20
763,12/5/2017,vaccin,26,Panthera uncia,4
764,12/5/2017,operation,4,Elephas maximus,20
765,13/5/2017,mise en quarantaine,25,Aptenodytes forsteri,15
766,13/5/2017,soins divers,10,Ailuropoda melanoleuca,4
767,13/5/2017,mise en quarantaine,7,Pan troglodytes,3
768,13/5/2017,operation,19,Panthera pardus,16
769,13/5/2017,operation,27,Bubo scandiacus,32
770,13/5/2017,operation,12,Equus caballus,32
771,13/5/2017,vaccin,12,Felis silvestris,6
772,13/5/2017,operation,19,Canis dingo,2
773,13/5/2017,platre,7,Prunella modularis,20
774,13/5/2017,mise en quarantaine,26,Panthera pardus,17
775,13/5/2017,mise en quarantaine,30,Canis lupus,8
776,13/5/2017,soins divers,26,Falco peregrinus,12
777,13/5/2017,platre,26,Pan troglodytes,15
778,13/5/2017,platre,11,Falco peregrinus,2
779,13/5/2017,soins divers,4,Ailuropoda melanoleuca,3
780,13/5/2017,mise en quarantaine,4,Aptenodytes forsteri,10
781,13/5/2017,platre,19,Falco peregrinus,20
782,14/5/2017,mise en quarantaine,4,Ailurus fulgens,18
783,14/5/2017,soins divers,10,Panthera leo,22
784,14/5/2017,vaccin,25,Canis dingo,10
785,14/5/2017,operation,30,Panthera uncia,9
786,14/5/2017,platre,10,Aptenodytes forsteri,13
787,14/5/2017,vaccin,30,Loxodonta africana,19
788,14/5/2017,mise en quarantaine,27,Lutra lutra,17
789,14/5/2017,vaccin,28,Elephas maximus,19
790,14/5/2017,operation,4,Ailurus fulgens,39
791,14/5/2017,vaccin,12,Cervus canadensis,29
792,14/5/2017,vaccin,16,Pan troglodytes,13
793,14/5/2017,platre,4,Panthera uncia,37
794,14/5/2017,platre,1,Ardea cinerea,27
795,14/5/2017,operation,1,Cervus canadensis,12
796,14/5/2017,soins divers,29,Pan troglodytes,35
797,14/5/2017,vaccin,25,Pongo pygmaeus,19
798,15/5/2017,mise en quarantaine,30,Prunella modularis,16
799,15/5/2017,soins divers,27,Ailurus fulgens,33
800,15/5/2017,vaccin,7,Haliaeetus leucocephalus,3
801,15/5/2017,soins divers,17,Panthera uncia,28
802,15/5/2017,platre,19,Falco peregrinus,22
803,15/5/2017,vaccin,11,Aptenodytes forsteri,45
804,15/5/2017,soins divers,4,Elephas maximus,10
805,15/5/2017,mise en quarantaine,30,Hippopotamus amphibius,14
806,15/5/2017,vaccin,25,Loxodonta africana,16
807,16/5/2017,vaccin,7,Ailurus fulgens,33
808,16/5/2017,soins divers,10,Urocyon cinereoargenteus,10
809,16/5/2017,vaccin,19,Haliaeetus leucocephalus,7
810,16/5/2017,soins divers,7,Felis silvestris,4
811,16/5/2017,soins divers,16,Ardea cinerea,32
812,16/5/2017,mise en quarantaine,2,Struthio camelus,10
813,16/5/2017,mise en quarantaine,28,Giraffa camelopardalis,8
814,16/5/2017,mise en quarantaine,17,Bubo scandiacus,28
815,16/5/2017,platre,19,Rangifer tarandus,1
816,17/5/2017,platre,27,Bubo scandiacus,21
817,17/5/2017,platre,26,Panthera pardus,7
818,17/5/2017,operation,28,Pan troglodytes,35
819,18/5/2017,soins divers,11,Pan troglodytes,23
820,18/5/2017,soins divers,29,Felis silvestris,33
821,19/5/2017,operation,1,Ardea cinerea,11
822,19/5/2017,platre,16,Falco peregrinus,15
823,20/5/2017,operation,17,Rangifer tarandus,11
824,20/5/2017,operation,7,Panthera uncia,36
825,20/5/2017,mise en quarantaine,29,Giraffa camelopardalis,1
826,21/5/2017,platre,17,Bubo scandiacus,1
827,21/5/2017,mise en quarantaine,1,Rangifer tarandus,25
828,21/5/2017,soins divers,19,Rangifer tarandus,23
829,21/5/2017,platre,3,Panthera uncia,29
830,21/5/2017,operation,7,Urocyon cinereoargenteus,11
831,21/5/2017,platre,30,Giraffa camelopardalis,10
832,21/5/2017,vaccin,4,Pan troglodytes,20
833,21/5/2017,platre,10,Rangifer tarandus,1
834,21/5/2017,platre,30,Aptenodytes forsteri,39
835,21/5/2017,soins divers,17,Bubo scandiacus,11
836,21/5/2017,operation,7,Haliaeetus leucocephalus,18
837,22/5/2017,soins divers,30,Panthera uncia,15
838,22/5/2017,platre,10,Lutra lutra,25
839,22/5/2017,soins divers,10,Panthera pardus,7
840,23/5/2017,mise en quarantaine,1,Ursus maritimus,21
841,24/5/2017,soins divers,2,Prunella modularis,4
842,25/5/2017,operation,30,Panthera leo,41
843,25/5/2017,vaccin,12,Aptenodytes forsteri,13
844,25/5/2017,operation,4,Eunectes murinus,8
845,25/5/2017,operation,19,Eunectes murinus,15
846,25/5/2017,vaccin,4,Canis dingo,8
847,25/5/2017,soins divers,25,Urocyon cinereoargenteus,17
848,25/5/2017,operation,17,Urocyon cinereoargenteus,13
849,25/5/2017,operation,1,Ailuropoda melanoleuca,23
850,26/5/2017,soins divers,4,Ardea cinerea,21
851,26/5/2017,operation,2,Panthera pardus,4
852,26/5/2017,soins divers,19,Pongo pygmaeus,25
853,26/5/2017,vaccin,25,Loxodonta africana,2
854,26/5/2017,platre,27,Elephas maximus,5
855,26/5/2017,mise en quarantaine,16,Ursus maritimus,16
856,27/5/2017,platre,3,Panthera tigris,23
857,27/5/2017,soins divers,7,Struthio camelus,19
858,27/5/2017,mise en quarantaine,28,Bubo scandiacus,10
859,27/5/2017,operation,3,Struthio camelus,6
860,27/5/2017,mise en quarantaine,28,Loxodonta africana,15
861,27/5/2017,soins divers,12,Elephas maximus,9
862,27/5/2017,vaccin,4,Eunectes murinus,10
863,27/5/2017,platre,19,Canis dingo,28
864,27/5/2017,mise en quarantaine,26,Giraffa camelopardalis,6
865,27/5/2017,mise en quarantaine,1,Ursus maritimus,4
866,27/5/2017,platre,4,Felis silvestris,17
867,27/5/2017,vaccin,29,Urocyon cinereoargenteus,24
868,28/5/2017,vaccin,10,Struthio camelus,25
869,28/5/2017,platre,11,Equus caballus,34
870,28/5/2017,vaccin,30,Bubo scandiacus,28
871,28/5/2017,mise en quarantaine,16,Pongo pygmaeus,1
872,1/6/2017,vaccin,4,Loxodonta africana,1
873,1/6/2017,mise en quarantaine,7,Falco peregrinus,14
874,1/6/2017,vaccin,19,Pongo pygmaeus,20
875,1/6/2017,operation,28,Giraffa camelopardalis,28
876,2/6/2017,vaccin,11,Cervus canadensis,8
877,2/6/2017,mise en quarantaine,7,Ailurus fulgens,37
878,2/6/2017,mise en quarantaine,17,Pan troglodytes,23
879,2/6/2017,vaccin,1,Canis lupus,1
880,2/6/2017,platre,17,Ardea cinerea,2
881,3/6/2017,vaccin,17,Bubo scandiacus,15
882,3/6/2017,soins divers,1,Struthio camelus,4
883,3/6/2017,mise en quarantaine,27,Ardea cinerea,5
884,4/6/2017,soins divers,19,Hippopotamus amphibius,20
885,4/6/2017,vaccin,17,Ailurus fulgens,27
886,4/6/2017,soins divers,10,Equus caballus,23
887,4/6/2017,operation,17,Lynx rufus,12
888,4/6/2017,platre,17,Equus caballus,35
889,4/6/2017,soins divers,16,Panthera leo,20
890,5/6/2017,operation,26,Panthera leo,30
891,5/6/2017,mise en quarantaine,29,Pongo pygmaeus,1
892,5/6/2017,vaccin,3,Rangifer tarandus,1
893,6/6/2017,vaccin,17,Giraffa camelopardalis,9
894,7/6/2017,soins divers,26,Bubo scandiacus,17
895,7/6/2017,platre,10,Ardea cinerea,22
896,8/6/2017,platre,2,Elephas maximus,13
897,8/6/2017,vaccin,4,Aptenodytes forsteri,36
898,8/6/2017,platre,16,Pan troglodytes,9
899,9/6/2017,operation,10,Struthio camelus,31
900,9/6/2017,mise en quarantaine,26,Ursus maritimus,1
901,9/6/2017,platre,25,Ailurus fulgens,20
902,10/6/2017,vaccin,1,Ailurus fulgens,15
903,10/6/2017,platre,3,Struthio camelus,13
904,10/6/2017,vaccin,26,Rangifer tarandus,27
905,10/6/2017,vaccin,19,Aptenodytes forsteri,43
906,10/6/2017,platre,30,Hippopotamus amphibius,9
907,11/6/2017,platre,10,Canis dingo,11
908,11/6/2017,operation,25,Panthera tigris,8
909,11/6/2017,vaccin,2,Hippopotamus amphibius,15
910,11/6/2017,platre,10,Pongo pygmaeus,16
911,11/6/2017,operation,28,Haliaeetus leucocephalus,17
912,11/6/2017,vaccin,7,Elephas maximus,12
913,11/6/2017,platre,11,Aptenodytes forsteri,10
914,11/6/2017,operation,19,Loxodonta africana,4
915,12/6/2017,operation,4,Prunella modularis,9
916,12/6/2017,soins divers,2,Canis dingo,28
917,12/6/2017,soins divers,25,Equus caballus,33
918,12/6/2017,vaccin,19,Urocyon cinereoargenteus,22
919,12/6/2017,mise en quarantaine,7,Urocyon cinereoargenteus,27
920,12/6/2017,platre,12,Struthio camelus,6
921,13/6/2017,mise en quarantaine,11,Ardea cinerea,20
922,13/6/2017,operation,1,Panthera uncia,10
923,13/6/2017,operation,12,Prunella modularis,7
924,13/6/2017,vaccin,3,Cervus canadensis,30
925,13/6/2017,soins divers,12,Eunectes murinus,16
926,13/6/2017,platre,1,Urocyon cinereoargenteus,9
927,13/6/2017,operation,19,Elephas maximus,22
928,13/6/2017,mise en quarantaine,26,Panthera uncia,32
929,13/6/2017,vaccin,1,Panthera pardus,15
930,13/6/2017,vaccin,28,Rangifer tarandus,26
931,13/6/2017,platre,26,Rangifer tarandus,7
932,13/6/2017,mise en quarantaine,11,Ursus maritimus,22
933,13/6/2017,vaccin,10,Ailurus fulgens,38
934,13/6/2017,operation,11,Equus caballus,26
935,13/6/2017,soins divers,30,Falco peregrinus,27
936,13/6/2017,operation,25,Hippopotamus amphibius,7
937,13/6/2017,platre,26,Aptenodytes forsteri,12
938,13/6/2017,platre,2,Felis silvestris,23
939,13/6/2017,mise en quarantaine,26,Aptenodytes forsteri,21
940,13/6/2017,operation,26,Bubo scandiacus,24
941,13/6/2017,vaccin,29,Panthera leo,40
942,14/6/2017,vaccin,1,Aptenodytes forsteri,39
943,14/6/2017,operation,25,Panthera leo,29
944,14/6/2017,platre,17,Canis dingo,11
945,14/6/2017,mise en quarantaine,19,Cervus canadensis,18
946,14/6/2017,mise en quarantaine,17,Ailuropoda melanoleuca,8
947,14/6/2017,vaccin,27,Cervus canadensis,31
948,14/6/2017,soins divers,4,Haliaeetus leucocephalus,3
949,14/6/2017,mise en quarantaine,29,Elephas maximus,3
950,14/6/2017,mise en quarantaine,17,Panthera tigris,15
951,14/6/2017,vaccin,19,Falco peregrinus,10
952,15/6/2017,operation,28,Giraffa camelopardalis,3
953,15/6/2017,vaccin,19,Cervus canadensis,19
954,15/6/2017,vaccin,19,Ardea cinerea,31
955,15/6/2017,platre,4,Giraffa camelopardalis,29
956,15/6/2017,soins divers,19,Cervus canadensis,18
957,15/6/2017,platre,4,Bubo scandiacus,11
958,15/6/2017,platre,10,Felis silvestris,27
959,15/6/2017,soins divers,17,Elephas maximus,30
960,16/6/2017,vaccin,7,Pongo pygmaeus,36
961,16/6/2017,operation,26,Struthio camelus,23
962,16/6/2017,operation,4,Equus caballus,22
963,16/6/2017,vaccin,19,Canis dingo,28
964,16/6/2017,mise en quarantaine,11,Panthera leo,16
965,17/6/2017,operation,12,Ardea cinerea,7
966,17/6/2017,platre,29,Hippopotamus amphibius,1
967,17/6/2017,platre,4,Pan troglodytes,22
968,17/6/2017,mise en quarantaine,10,Aptenodytes forsteri,27
969,17/6/2017,mise en quarantaine,7,Equus caballus,26
970,17/6/2017,operation,11,Giraffa camelopardalis,33
971,17/6/2017,soins divers,12,Panthera uncia,2
972,17/6/2017,mise en quarantaine,4,Felis silvestris,1
973,17/6/2017,platre,30,Haliaeetus leucocephalus,3
974,17/6/2017,operation,7,Felis silvestris,33
975,17/6/2017,mise en quarantaine,28,Elephas maximus,2
976,18/6/2017,operation,4,Lutra lutra,14
977,18/6/2017,operation,4,Haliaeetus leucocephalus,13
978,18/6/2017,platre,26,Pongo pygmaeus,4
979,18/6/2017,soins divers,28,Panthera leo,5
980,18/6/2017,vaccin,7,Ailurus fulgens,13
981,18/6/2017,soins divers,10,Bubo scandiacus,36
982,18/6/2017,platre,10,Pan troglodytes,28
983,18/6/2017,platre,25,Ursus maritimus,16
984,18/6/2017,platre,3,Ursus maritimus,9
985,18/6/2017,vaccin,28,Lutra lutra,13
986,18/6/2017,vaccin,28,Ailurus fulgens,27
987,18/6/2017,mise en quarantaine,7,Ailuropoda melanoleuca,7
988,18/6/2017,platre,4,Eunectes murinus,26
989,18/6/2017,operation,11,Ursus maritimus,3
990,18/6/2017,operation,27,Hippopotamus amphibius,4
991,18/6/2017,operation,10,Ailurus fulgens,17
992,18/6/2017,mise en quarantaine,30,Aptenodytes forsteri,11
993,18/6/2017,operation,4,Aptenodytes forsteri,38
994,18/6/2017,platre,7,Ailurus fulgens,9
995,18/6/2017,mise en quarantaine,29,Ailurus fulgens,29
996,18/6/2017,soins divers,16,Ailuropoda melanoleuca,11
997,18/6/2017,platre,11,Urocyon cinereoargenteus,24
998,19/6/2017,vaccin,29,Canis dingo,2
999,20/6/2017,operation,26,Hippopotamus amphibius,19
1000,20/6/2017,platre,11,Prunella modularis,11
1001,20/6/2017,operation,12,Urocyon cinereoargenteus,28
1002,20/6/2017,vaccin,19,Loxodonta africana,18
1003,20/6/2017,operation,10,Pongo pygmaeus,8
1004,20/6/2017,soins divers,27,Rangifer tarandus,20
1005,20/6/2017,vaccin,26,Prunella modularis,5
1006,20/6/2017,soins divers,2,Loxodonta africana,4
1007,20/6/2017,operation,16,Canis dingo,33
1008,20/6/2017,platre,29,Ardea cinerea,21
