nom_scientifique (str), n_puce (int), taille (int), sexe (str), date_naissance (str), n_enclos (int)
Struthio camelus,31,1486,M,23/10/2010,34
Giraffa camelopardalis,20,176,F,4/8/2013,17
Canis dingo,14,1839,F,27/2/2010,46
Ardea cinerea,23,795,F,24/1/2012,13
Canis lupus,19,581,M,22/1/2016,35
Ardea cinerea,24,1481,M,17/11/2016,37
Pan troglodytes,21,267,F,6/7/2016,14
Panthera tigris,11,1540,F,8/7/2015,11
Panthera leo,30,1436,F,8/10/2012,20
Equus caballus,17,933,F,24/7/2014,4
Canis dingo,15,1449,F,18/12/2014,11
Pongo pygmaeus,24,961,M,7/9/2013,8
Haliaeetus leucocephalus,16,1331,M,19/12/2011,19
Bubo scandiacus,18,1089,M,16/6/2014,27
Panthera tigris,12,795,F,6/12/2012,29
Equus caballus,18,745,M,27/2/2015,28
Loxodonta africana,15,1987,F,22/12/2011,29
Felis silvestris,22,380,M,16/7/2010,25
Panthera tigris,13,1657,M,23/8/2016,29
Hippopotamus amphibius,22,745,F,10/5/2011,47
Panthera uncia,23,1036,M,20/6/2011,6
Hippopotamus amphibius,23,1138,M,15/12/2012,34
Equus caballus,19,1261,F,3/12/2011,46
Giraffa camelopardalis,21,1196,M,2/1/2010,29
Aptenodytes forsteri,26,376,F,11/2/2014,42
Ardea cinerea,25,1327,M,2/6/2012,25
Giraffa camelopardalis,22,1279,M,17/1/2014,29
Lutra lutra,21,179,F,4/12/2014,34
Felis silvestris,23,1597,M,12/5/2013,4
Ardea cinerea,26,296,F,25/10/2016,16
Struthio camelus,32,1803,F,2/1/2015,40
Equus caballus,20,372,M,9/5/2010,22
Equus caballus,21,1492,M,13/1/2011,10
Haliaeetus leucocephalus,17,1374,F,19/6/2014,27
Eunectes murinus,15,1672,F,12/4/2010,7
Urocyon cinereoargenteus,24,352,F,26/8/2010,3
Aptenodytes forsteri,27,1123,M,1/5/2010,30
Eunectes murinus,16,1988,F,7/5/2015,44
Hippopotamus amphibius,24,902,M,22/4/2014,17
Falco peregrinus,15,133,F,15/10/2015,32
Aptenodytes forsteri,28,1649,F,15/1/2013,18
Aptenodytes forsteri,29,459,F,18/4/2014,30
Ardea cinerea,27,450,F,22/6/2011,19
Bubo scandiacus,19,362,F,3/11/2012,13
Prunella modularis,17,1209,F,13/1/2012,19
Falco peregrinus,16,520,F,8/4/2016,15
Panthera uncia,24,666,F,27/1/2010,3
Panthera leo,31,419,F,24/1/2016,29
Ursus maritimus,22,216,F,26/3/2012,44
Falco peregrinus,17,1526,M,22/6/2015,22
Eunectes murinus,17,565,M,8/8/2010,37
Aptenodytes forsteri,30,1639,F,15/4/2012,24
Panthera pardus,13,1453,F,3/5/2010,17
Cervus canadensis,15,1517,F,22/11/2012,16
Haliaeetus leucocephalus,18,1949,M,24/8/2011,12
Ursus maritimus,23,1834,F,15/12/2012,30
Falco peregrinus,18,1669,F,19/5/2015,28
Ursus maritimus,24,1051,M,3/3/2014,6
Aptenodytes forsteri,31,1766,F,3/3/2010,12
Panthera leo,32,523,M,1/10/2016,38
Haliaeetus leucocephalus,19,1545,M,12/10/2013,34
Ailuropoda melanoleuca,13,741,F,19/5/2015,32
Lynx rufus,16,564,M,24/2/2016,39
Panthera leo,33,537,F,9/3/2014,41
Pan troglodytes,22,977,F,2/2/2013,44
Panthera uncia,25,404,M,20/1/2013,31
Eunectes murinus,18,430,M,4/3/2014,49
Panthera leo,34,493,F,15/9/2010,23
Ardea cinerea,28,1689,F,10/2/2014,43
Struthio camelus,33,883,F,26/11/2012,10
Ursus maritimus,25,581,M,10/12/2016,36
Panthera tigris,14,304,F,4/9/2010,29
Elephas maximus,28,965,M,12/8/2012,38
Canis dingo,16,1212,M,3/9/2013,7
Pan troglodytes,23,419,F,5/3/2016,20
Canis dingo,17,1803,M,18/5/2013,1
Aptenodytes forsteri,32,732,M,7/11/2010,48
Panthera pardus,14,952,F,9/6/2015,41
Ailurus fulgens,18,913,M,7/1/2012,37
Hippopotamus amphibius,25,554,F,5/3/2016,28
Ailuropoda melanoleuca,14,1355,M,13/11/2012,8
Haliaeetus leucocephalus,20,473,M,17/9/2013,25
Equus caballus,22,903,M,6/5/2016,46
Canis lupus,20,1386,M,15/3/2013,19
Aptenodytes forsteri,33,1095,F,3/11/2011,48
Panthera uncia,26,265,F,13/1/2015,18
Pan troglodytes,24,556,M,18/2/2016,38
Falco peregrinus,19,1759,M,22/11/2010,17
Prunella modularis,18,994,M,10/11/2015,10
Haliaeetus leucocephalus,21,408,F,3/3/2012,27
Eunectes murinus,19,1812,M,18/6/2012,13
Ailurus fulgens,19,1427,M,21/12/2011,8
Prunella modularis,19,1406,M,3/11/2011,37
Ailurus fulgens,20,423,M,3/12/2016,9
Pongo pygmaeus,25,1730,F,15/6/2012,6
Elephas maximus,29,1667,F,11/1/2011,38
Cervus canadensis,16,1861,M,16/1/2012,34
Loxodonta africana,16,923,F,22/3/2011,33
Prunella modularis,20,1856,M,22/3/2010,31
Ardea cinerea,29,334,M,11/5/2014,46
Pan troglodytes,25,1901,F,10/9/2015,44
Giraffa camelopardalis,23,661,M,11/11/2014,17
Hippopotamus amphibius,26,1567,M,7/1/2011,10
Lynx rufus,17,334,M,20/10/2013,49
Elephas maximus,30,416,M,17/4/2011,50
Pan troglodytes,26,1384,M,13/3/2011,38
Canis dingo,18,1120,F,5/2/2016,41
Bubo scandiacus,20,1750,M,3/6/2012,27
Ailurus fulgens,21,1641,F,25/3/2014,45
Elephas maximus,31,501,F,20/6/2011,50
Pan troglodytes,27,1849,M,27/7/2014,8
Bubo scandiacus,21,1045,F,9/9/2013,7
Hippopotamus amphibius,27,1885,F,16/8/2013,35
Ailurus fulgens,22,214,M,4/9/2011,13
Urocyon cinereoargenteus,25,1079,M,12/7/2011,34
Cervus canadensis,17,257,M,13/8/2010,40
Ailuropoda melanoleuca,15,548,M,5/8/2014,15
Elephas maximus,32,190,F,10/6/2013,8
Lutra lutra,22,1061,M,11/1/2013,4
Ursus maritimus,26,815,M,24/2/2011,6
Canis dingo,19,575,M,22/11/2013,22
Giraffa camelopardalis,24,942,F,15/9/2016,35
Hippopotamus amphibius,28,926,F,23/3/2013,41
Falco peregrinus,20,1624,M,5/3/2012,49
Lutra lutra,23,1296,M,19/2/2011,40
Struthio camelus,34,1395,M,2/5/2015,28
Felis silvestris,24,886,F,8/5/2011,16
Ailuropoda melanoleuca,16,1812,F,4/6/2016,20
Canis dingo,20,657,F,27/2/2012,29
Pongo pygmaeus,26,901,F,8/1/2015,8
Aptenodytes forsteri,34,1171,F,23/7/2015,6
Bubo scandiacus,22,841,M,10/9/2016,9
Rangifer tarandus,19,1244,M,13/7/2010,19
Felis silvestris,25,1284,F,7/4/2014,19
Equus caballus,23,1987,F,26/3/2014,40
Struthio camelus,35,1623,M,7/9/2010,28
Felis silvestris,26,467,F,25/3/2016,43
Lutra lutra,24,389,M,14/1/2010,49
Pongo pygmaeus,27,512,F,16/10/2016,26
Loxodonta africana,17,1158,M,3/12/2014,20
Giraffa camelopardalis,25,231,F,24/10/2015,11
Struthio camelus,36,1257,M,13/12/2011,34
Struthio camelus,37,323,F,4/4/2011,11
Ursus maritimus,27,323,M,2/10/2013,6
Panthera leo,35,1309,M,27/11/2013,32
Eunectes murinus,20,1093,M,2/2/2011,31
Ailurus fulgens,23,1586,M,26/11/2016,9
Falco peregrinus,21,383,F,26/9/2013,49
Cervus canadensis,18,1373,F,3/7/2012,7
Bubo scandiacus,23,1848,F,8/5/2015,18
Panthera uncia,27,290,M,3/11/2015,45
Pan troglodytes,28,546,M,8/5/2013,26
Haliaeetus leucocephalus,22,1966,M,26/7/2014,31
Ursus maritimus,28,445,M,27/11/2014,12
Ardea cinerea,30,1557,F,4/5/2011,13
Rangifer tarandus,20,1162,F,6/1/2013,16
Panthera pardus,15,789,M,27/4/2011,11
Panthera uncia,28,1714,M,19/8/2013,24
Pongo pygmaeus,28,1740,M,9/12/2015,38
Canis dingo,21,939,M,25/2/2012,1
Canis dingo,22,1639,M,5/9/2013,28
Felis silvestris,27,117,F,24/3/2014,25
Loxodonta africana,18,1818,M,17/9/2011,23
Ailurus fulgens,24,1085,F,12/10/2016,2
Bubo scandiacus,24,728,M,12/11/2011,43
Ailurus fulgens,25,819,M,17/3/2014,26
Rangifer tarandus,21,355,M,6/7/2011,16
Panthera uncia,29,953,F,3/11/2011,40
Ailurus fulgens,26,912,M,15/9/2010,33
Bubo scandiacus,25,1112,M,3/10/2016,24
Panthera uncia,30,1396,M,10/4/2012,37
Ailuropoda melanoleuca,17,537,M,27/3/2010,32
Canis dingo,23,255,M,8/3/2015,19
Panthera pardus,16,1983,F,17/10/2011,38
Urocyon cinereoargenteus,26,1103,M,15/3/2013,13
Equus caballus,24,951,F,7/4/2010,4
Giraffa camelopardalis,26,1539,M,20/6/2012,47
Pongo pygmaeus,29,165,M,22/12/2015,50
Aptenodytes forsteri,35,649,F,24/3/2016,18
Rangifer tarandus,22,1522,F,11/4/2012,19
Panthera pardus,17,1669,F,23/9/2011,8
Canis dingo,24,1627,F,4/6/2014,7
Ailurus fulgens,27,658,F,17/12/2014,34
Urocyon cinereoargenteus,27,1243,M,16/11/2012,16
Rangifer tarandus,23,1246,M,18/7/2013,40
Haliaeetus leucocephalus,23,1361,F,9/5/2013,28
Panthera tigris,15,1285,F,3/5/2014,35
Eunectes murinus,21,1956,M,1/11/2015,26
Eunectes murinus,22,1679,M,23/11/2010,20
Ailuropoda melanoleuca,18,873,F,15/1/2016,9
Bubo scandiacus,26,1659,F,10/8/2014,24
Ailurus fulgens,28,151,M,27/3/2014,49
Urocyon cinereoargenteus,28,1578,M,21/12/2014,46
Hippopotamus amphibius,29,612,M,23/3/2012,28
Ursus maritimus,29,893,M,24/9/2012,18
Pan troglodytes,29,164,M,24/12/2010,14
Cervus canadensis,19,611,M,16/10/2012,5
Ursus maritimus,30,1215,F,12/2/2013,48
Loxodonta africana,19,256,F,14/10/2015,10
Urocyon cinereoargenteus,29,1761,M,3/7/2012,49
Hippopotamus amphibius,30,1153,F,12/6/2015,28
Ardea cinerea,31,1147,M,22/11/2016,43
Ailurus fulgens,29,404,M,24/5/2010,8
Panthera leo,36,1475,F,23/8/2014,20
Ailuropoda melanoleuca,19,788,M,1/3/2015,26
Falco peregrinus,22,1287,F,14/3/2013,22
Canis lupus,21,858,M,25/7/2011,43
Cervus canadensis,20,1088,F,7/6/2016,25
Struthio camelus,38,1273,M,27/8/2012,11
Haliaeetus leucocephalus,24,943,M,22/4/2010,15
Canis lupus,22,1882,M,14/9/2012,7
Falco peregrinus,23,1012,M,18/1/2011,9
Lynx rufus,18,342,M,27/11/2014,7
Equus caballus,25,170,F,26/8/2011,28
Equus caballus,26,736,F,18/6/2010,36
Pan troglodytes,30,627,F,1/12/2015,20
Aptenodytes forsteri,36,1024,F,27/9/2014,18
Canis lupus,23,921,M,5/12/2016,25
Eunectes murinus,23,405,F,9/2/2016,31
Bubo scandiacus,27,310,F,24/6/2010,30
Panthera uncia,31,1518,F,15/6/2016,25
Falco peregrinus,24,176,F,27/10/2013,38
Haliaeetus leucocephalus,25,1559,F,18/7/2012,22
Pongo pygmaeus,30,723,M,25/11/2014,14
Panthera leo,37,347,M,27/12/2012,11
Lynx rufus,19,1637,F,6/2/2016,15
Pan troglodytes,31,1878,F,18/1/2010,26
Eunectes murinus,24,1736,M,24/2/2011,37
Urocyon cinereoargenteus,30,122,F,25/2/2010,49
Urocyon cinereoargenteus,31,1392,F,23/9/2014,37
Felis silvestris,28,1815,M,12/10/2011,19
Canis dingo,25,1783,M,6/11/2010,7
Canis lupus,24,578,M,23/3/2016,25
Pongo pygmaeus,31,415,M,25/4/2011,32
Aptenodytes forsteri,37,583,F,7/5/2013,36
Pongo pygmaeus,32,208,M,13/4/2012,8
Falco peregrinus,25,1510,F,20/4/2014,46
Hippopotamus amphibius,31,1941,M,24/5/2012,41
Panthera leo,38,655,F,26/7/2013,35
Ailurus fulgens,30,563,F,27/8/2014,25
Panthera tigris,16,1658,M,2/3/2012,47
Pan troglodytes,32,446,F,25/1/2011,50
Aptenodytes forsteri,38,1258,M,3/9/2015,18
Hippopotamus amphibius,32,1268,M,15/6/2014,16
Pongo pygmaeus,33,1014,M,16/11/2011,8
Ardea cinerea,32,962,M,27/8/2015,4
Ailuropoda melanoleuca,20,1646,M,26/6/2015,45
Falco peregrinus,26,938,F,10/12/2014,31
Giraffa camelopardalis,27,783,F,7/6/2011,29
Bubo scandiacus,28,452,F,10/9/2015,3
Loxodonta africana,20,1095,F,21/9/2011,47
Canis lupus,25,209,M,11/3/2013,49
Pan troglodytes,33,1753,F,6/4/2014,50
Hippopotamus amphibius,33,325,F,1/11/2014,5
Ursus maritimus,31,1740,F,7/10/2010,30
Ailurus fulgens,31,1414,F,21/11/2012,21
Giraffa camelopardalis,28,402,M,23/6/2012,17
Ardea cinerea,33,602,F,1/10/2015,31
Panthera leo,39,325,F,18/11/2014,8
Panthera uncia,32,225,F,13/3/2011,25
Ailurus fulgens,32,1989,M,20/6/2013,33
Ardea cinerea,34,1227,F,26/4/2012,40
Ailuropoda melanoleuca,21,809,F,23/1/2011,45
Equus caballus,27,472,F,4/1/2010,22
Pongo pygmaeus,34,584,M,8/1/2012,26
Ailurus fulgens,33,585,F,22/6/2010,5
Equus caballus,28,1366,M,5/2/2011,46
Struthio camelus,39,1621,M,19/12/2011,28
Giraffa camelopardalis,29,235,M,23/3/2010,17
Ailuropoda melanoleuca,22,113,M,21/1/2016,20
Ailurus fulgens,34,629,F,4/11/2016,32
Haliaeetus leucocephalus,26,1086,M,26/2/2010,7
Lutra lutra,25,1656,M,6/2/2014,34
Ursus maritimus,32,1718,F,22/12/2014,48
Lynx rufus,20,1745,M,8/4/2013,13
Pongo pygmaeus,35,1425,F,18/2/2010,48
Haliaeetus leucocephalus,27,1033,M,3/7/2011,43
Struthio camelus,40,1085,F,20/11/2016,22
Panthera pardus,18,834,M,10/1/2013,50
Canis dingo,26,391,M,2/8/2012,40
Equus caballus,29,1524,F,13/3/2016,10
Rangifer tarandus,24,201,M,10/3/2013,25
Bubo scandiacus,29,1755,M,27/2/2012,48
Panthera leo,40,1711,M,1/6/2012,47
Canis dingo,27,176,F,1/1/2011,47
Aptenodytes forsteri,39,676,M,25/7/2012,36
Rangifer tarandus,25,153,M,26/2/2016,22
Loxodonta africana,21,351,F,21/11/2010,11
Struthio camelus,41,170,M,20/3/2016,5
Canis lupus,26,1844,M,3/3/2011,7
Rangifer tarandus,26,587,F,21/4/2016,7
Lutra lutra,26,614,F,27/9/2016,31
Canis dingo,28,1090,M,22/12/2013,48
Aptenodytes forsteri,40,465,F,13/1/2014,18
Haliaeetus leucocephalus,28,1715,M,17/6/2012,27
Lynx rufus,21,447,F,6/5/2015,3
Cervus canadensis,21,1241,F,1/7/2011,25
Hippopotamus amphibius,34,1725,F,1/7/2011,47
Canis dingo,29,1104,M,12/5/2012,40
Equus caballus,30,103,M,21/7/2013,40
Aptenodytes forsteri,41,634,M,13/7/2010,30
Ailuropoda melanoleuca,23,742,F,19/8/2013,8
Giraffa camelopardalis,30,611,F,2/5/2013,11
Panthera leo,41,507,F,24/4/2011,29
Panthera uncia,33,582,M,5/3/2016,15
Equus caballus,31,446,M,6/8/2014,22
Pan troglodytes,34,847,F,9/9/2015,32
Cervus canadensis,22,1773,M,24/1/2013,4
Equus caballus,32,850,F,13/2/2013,16
Haliaeetus leucocephalus,29,1328,F,2/4/2014,45
Panthera uncia,34,934,F,12/7/2014,13
Eunectes murinus,25,353,F,9/9/2013,31
Cervus canadensis,23,1373,M,2/7/2016,16
Urocyon cinereoargenteus,32,552,F,8/11/2010,40
Panthera pardus,19,1594,M,12/10/2011,50
Elephas maximus,33,1306,F,12/3/2015,50
Lynx rufus,22,1166,M,19/9/2010,43
Panthera uncia,35,230,F,15/2/2012,12
Lutra lutra,27,1795,F,24/11/2016,4
Hippopotamus amphibius,35,653,F,16/7/2011,34
Canis dingo,30,1408,F,10/4/2013,49
Panthera tigris,17,1321,F,24/12/2015,23
Cervus canadensis,24,1222,F,25/11/2012,43
Haliaeetus leucocephalus,30,1004,F,9/5/2010,39
Panthera tigris,18,807,M,22/8/2011,23
Bubo scandiacus,30,1640,M,22/8/2014,36
Aptenodytes forsteri,42,650,M,10/10/2015,48
Aptenodytes forsteri,43,1792,M,7/12/2015,30
Cervus canadensis,25,1267,M,24/12/2010,34
Lynx rufus,23,761,M,18/10/2012,25
Rangifer tarandus,27,769,M,13/1/2013,4
Ardea cinerea,35,822,F,4/11/2010,11
Panthera tigris,19,1719,F,2/8/2012,23
Loxodonta africana,22,475,F,9/8/2014,35
Struthio camelus,42,178,F,14/8/2011,4
Ailurus fulgens,35,1747,M,2/12/2015,13
Felis silvestris,29,1885,M,1/4/2012,19
Aptenodytes forsteri,44,1317,F,25/3/2014,48
Canis dingo,31,1609,M,6/10/2013,31
Panthera uncia,36,1318,M,20/11/2012,31
Felis silvestris,30,1567,M,17/5/2015,40
Bubo scandiacus,31,233,M,2/12/2016,19
Giraffa camelopardalis,31,1125,F,14/6/2016,11
Cervus canadensis,26,217,M,4/8/2013,49
Aptenodytes forsteri,45,385,M,21/11/2010,43
Bubo scandiacus,32,1355,F,24/9/2013,49
Pan troglodytes,35,406,M,11/1/2014,50
Canis dingo,32,775,F,6/6/2015,35
Prunella modularis,21,1658,M,20/12/2010,25
Rangifer tarandus,28,1097,M,2/4/2014,43
Ardea cinerea,36,871,M,14/4/2014,34
Ailurus fulgens,36,464,M,5/5/2016,18
Cervus canadensis,27,123,F,14/8/2015,10
Pan troglodytes,36,671,F,25/3/2010,44
Elephas maximus,34,1518,M,1/5/2013,18
Cervus canadensis,28,599,F,25/11/2010,7
Aptenodytes forsteri,46,378,F,10/11/2013,30
Pongo pygmaeus,36,1983,M,15/7/2016,2
Prunella modularis,22,451,F,1/11/2016,7
Panthera leo,42,317,F,10/4/2010,29
Bubo scandiacus,33,569,F,1/7/2016,24
Panthera tigris,20,1191,M,17/2/2011,23
Giraffa camelopardalis,32,1344,F,13/8/2010,11
Ailurus fulgens,37,328,M,21/9/2012,31
Rangifer tarandus,29,247,M,12/6/2011,22
Ardea cinerea,37,1821,M,19/9/2015,49
Cervus canadensis,29,665,M,3/5/2012,10
Felis silvestris,31,1410,M,26/1/2012,7
Falco peregrinus,27,326,M,18/9/2010,19
Canis dingo,33,706,F,15/6/2016,31
Cervus canadensis,30,1211,M,10/3/2012,7
Falco peregrinus,28,1386,F,11/5/2016,10
Ailurus fulgens,38,234,F,9/3/2015,34
Cervus canadensis,31,683,M,1/9/2013,46
Panthera pardus,20,1922,M,16/10/2014,50
Ardea cinerea,38,1109,M,22/11/2010,28
Elephas maximus,35,1087,M,11/12/2014,50
Felis silvestris,32,476,F,5/11/2015,10
Pan troglodytes,37,128,F,13/12/2016,32
Aptenodytes forsteri,47,1971,M,9/2/2015,6
Giraffa camelopardalis,33,1748,M,3/7/2014,5
Canis lupus,27,783,F,8/5/2015,13
Bubo scandiacus,34,124,F,4/6/2013,19
Eunectes murinus,26,1578,F,10/10/2010,7
Struthio camelus,43,702,F,25/5/2016,35
Equus caballus,33,1316,M,24/7/2015,28
Elephas maximus,36,113,M,8/1/2013,50
Bubo scandiacus,35,968,M,19/1/2012,47
Giraffa camelopardalis,34,687,F,10/7/2014,17
Ailuropoda melanoleuca,24,1226,M,1/5/2013,9
Panthera tigris,21,1232,M,18/12/2014,5
Ailuropoda melanoleuca,25,1977,M,19/5/2012,44
Ursus maritimus,33,141,F,22/12/2011,42
Ardea cinerea,39,415,M,16/11/2016,37
Panthera leo,43,538,M,27/8/2016,5
Ailurus fulgens,39,1200,M,6/5/2010,38
Pongo pygmaeus,37,981,M,11/9/2011,50
Panthera leo,44,1346,F,3/2/2012,14
Ailuropoda melanoleuca,26,559,F,17/10/2011,38
Eunectes murinus,27,1295,F,4/8/2014,49
Lynx rufus,24,351,F,5/7/2014,1
Cervus canadensis,32,1130,M,18/2/2010,37
Pan troglodytes,38,574,F,15/11/2011,38
Eunectes murinus,28,1321,F,11/7/2010,26
Ailurus fulgens,40,897,M,8/4/2014,25
Prunella modularis,23,753,M,24/7/2015,25
Equus caballus,34,716,M,27/2/2010,16
Equus caballus,35,1510,M,25/3/2015,46
Equus caballus,36,859,M,24/4/2015,40
Falco peregrinus,29,318,F,2/7/2016,27
Ailuropoda melanoleuca,27,630,F,26/12/2011,9
Falco peregrinus,30,102,M,15/8/2016,37
Elephas maximus,37,508,F,5/11/2016,50
Panthera uncia,37,1008,F,16/3/2011,30
Ursus maritimus,34,365,M,8/10/2013,42
Panthera tigris,22,573,M,23/7/2014,32
Lutra lutra,28,918,M,4/4/2013,19
Ardea cinerea,40,1029,F,27/6/2015,13
Loxodonta africana,23,244,M,8/1/2016,29
Haliaeetus leucocephalus,31,350,F,5/11/2016,39
Ursus maritimus,35,221,M,17/4/2013,48
Elephas maximus,38,353,M,8/7/2014,8
Struthio camelus,44,1257,M,10/9/2012,16
Felis silvestris,33,988,M,27/1/2011,40
Prunella modularis,24,1597,F,19/10/2012,19
Falco peregrinus,31,1374,F,26/10/2013,15
Ardea cinerea,41,540,M,19/4/2012,7
Ailurus fulgens,41,417,M,3/5/2010,50
Eunectes murinus,29,643,M,26/10/2010,43
Elephas maximus,39,459,M,13/12/2013,50
Equus caballus,37,1399,M,12/9/2012,16
Eunectes murinus,30,687,M,12/11/2011,26
Ardea cinerea,42,384,M,26/9/2013,46
Aptenodytes forsteri,48,786,M,12/11/2015,24
Ailuropoda melanoleuca,28,1194,F,5/10/2012,50
Canis lupus,28,1817,F,12/2/2015,25
Rangifer tarandus,30,202,M,17/8/2014,43
Panthera uncia,38,295,M,9/6/2012,37
Bubo scandiacus,36,639,M,22/5/2015,6
Panthera tigris,23,1610,M,10/6/2014,32
Pan troglodytes,39,979,F,5/12/2010,23
Eunectes murinus,31,977,M,6/10/2014,1
