n_entretien (int), n_registre (int), n_materiel (int), date (str), n_enclos (int)
929,5,10,8/11/2017,5
930,20,2,8/11/2017,9
931,14,3,8/11/2017,2
932,18,37,8/11/2017,3
933,14,42,8/11/2017,23
934,22,32,8/11/2017,18
935,23,50,8/11/2017,45
936,21,35,8/11/2017,18
937,24,17,8/11/2017,17
938,22,44,8/11/2017,13
939,21,50,8/11/2017,43
940,20,40,8/11/2017,40
941,18,21,9/11/2017,5
942,9,8,10/11/2017,45
943,24,40,10/11/2017,48
944,18,11,10/11/2017,20
945,15,50,10/11/2017,1
946,21,22,10/11/2017,8
947,15,49,11/11/2017,33
948,13,42,12/11/2017,50
949,14,3,12/11/2017,35
950,18,4,12/11/2017,44
951,6,16,12/11/2017,28
952,13,14,13/11/2017,21
953,9,38,13/11/2017,9
954,8,42,13/11/2017,40
955,21,26,13/11/2017,30
956,9,4,14/11/2017,17
957,14,33,14/11/2017,38
958,13,37,15/11/2017,24
959,23,24,15/11/2017,31
960,14,31,15/11/2017,8
961,13,45,15/11/2017,25
962,9,2,16/11/2017,47
963,6,21,17/11/2017,11
964,15,42,17/11/2017,30
965,8,22,18/11/2017,47
966,14,13,19/11/2017,38
967,6,36,20/11/2017,16
968,20,30,20/11/2017,20
969,24,22,20/11/2017,40
970,8,44,21/11/2017,12
971,9,10,21/11/2017,28
972,5,37,21/11/2017,42
973,9,49,21/11/2017,23
974,20,3,21/11/2017,22
975,23,38,22/11/2017,18
976,5,2,22/11/2017,25
977,5,49,23/11/2017,30
978,6,42,23/11/2017,50
979,23,43,23/11/2017,35
980,6,6,23/11/2017,1
981,18,3,23/11/2017,14
982,18,31,24/11/2017,49
983,22,14,25/11/2017,16
984,23,50,26/11/2017,42
985,14,45,26/11/2017,24
986,23,15,27/11/2017,1
987,24,41,27/11/2017,34
988,18,20,27/11/2017,10
989,5,7,27/11/2017,25
990,22,36,28/11/2017,32
991,23,10,28/11/2017,3
992,21,14,28/11/2017,13
993,18,3,1/12/2017,31
994,18,16,1/12/2017,35
995,15,23,1/12/2017,37
996,6,23,1/12/2017,32
997,14,19,2/12/2017,35
998,15,41,3/12/2017,22
999,21,46,3/12/2017,49
1000,24,42,3/12/2017,23
